"id","year","state_name","state_code","district_name","district_code","registration_circles","male_below_12_years","male_12_years_to_16_years","male_16_years_to_18_years","male_children","male_18_years_and_above","female_below_12_years","female_12_years_to_16_years","female_16_years_to_18_years","female_children","female_18_years_and_above","transgender_below_12_years","transgender_12_years_to_16_years","transgender_16_years_to_18_years","transgender_children","transgender_18_years_and_above"
266,"2021","Jammu And Kashmir","01","Jammu","005","Jammu",0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,386.0,0.0,0.0,0.0,0.0,0.0
267,"2021","Jammu And Kashmir","01","Kathua","007","Kathua",7.0,3.0,2.0,12.0,37.0,7.0,5.0,23.0,35.0,142.0,0.0,0.0,0.0,0.0,0.0
268,"2021","Jammu And Kashmir","01","Kishtwar","620","Kishtwar",0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0
269,"2021","Jammu And Kashmir","01","Kulgam","622","Kulgam",0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0
270,"2021","Jammu And Kashmir","01","Kupwara","008","Kupwara",0.0,1.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0
271,"2021","Jammu And Kashmir","01","Poonch","010","Poonch",2.0,6.0,0.0,8.0,12.0,2.0,0.0,1.0,3.0,89.0,0.0,0.0,0.0,0.0,0.0
272,"2021","Jammu And Kashmir","01","Pulwama","011","Pulwama",0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
273,"2021","Jammu And Kashmir","01","Jammu","005","Railways Jammu",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
274,"2021","Jammu And Kashmir","01","Jammu","005","Railways Kashmir",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,"2021","Jammu And Kashmir","01","Reasi","627","Railways Katra",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,"2021","Jammu And Kashmir","01","Rajouri","012","Rajouri",0.0,2.0,0.0,2.0,21.0,0.0,4.0,0.0,4.0,95.0,0.0,0.0,0.0,0.0,0.0
277,"2021","Jammu And Kashmir","01","Ramban","621","Ramban",0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0
278,"2021","Jammu And Kashmir","01","Reasi","627","Reasi",0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
279,"2021","Jammu And Kashmir","01","Samba","624","Samba",2.0,2.0,1.0,5.0,29.0,3.0,6.0,3.0,12.0,84.0,0.0,0.0,0.0,0.0,0.0
280,"2021","Jammu And Kashmir","01","Shopian","625","Shopian",0.0,0.0,0.0,0.0,7.0,0.0,2.0,7.0,9.0,30.0,0.0,0.0,0.0,0.0,0.0
281,"2021","Jammu And Kashmir","01","Baramulla","003","Sopore",0.0,8.0,2.0,10.0,13.0,0.0,9.0,15.0,24.0,20.0,0.0,0.0,0.0,0.0,0.0
282,"2021","Jammu And Kashmir","01","Srinagar","013","Srinagar",0.0,0.0,8.0,8.0,112.0,0.0,0.0,3.0,3.0,124.0,0.0,0.0,0.0,0.0,0.0
283,"2021","Jammu And Kashmir","01","Udhampur","014","Udhampur",2.0,2.0,3.0,7.0,47.0,2.0,10.0,20.0,32.0,117.0,0.0,0.0,0.0,0.0,0.0
284,"2021","Jammu And Kashmir","01","Jammu","005","Cyber Crime Jammu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,"2021","Jammu And Kashmir","01","Jammu","005","Cyber Crime Kashmir",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,"2021","Jammu And Kashmir","01","Jammu","005","Anti Narcotic Task Force Jammu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,"2021","Jharkhand","20","Bokaro","322","Bokaro",5.0,0.0,0.0,5.0,0.0,0.0,5.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
288,"2021","Jharkhand","20","West Singhbhum","343","Chaibasa",0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
289,"2021","Jharkhand","20","Chatra","323","Chatra",6.0,1.0,1.0,8.0,11.0,2.0,4.0,7.0,13.0,22.0,0.0,0.0,0.0,0.0,0.0
290,"2021","Jharkhand","20","Deoghar","324","Deoghar",0.0,3.0,1.0,4.0,0.0,1.0,4.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
291,"2021","Jharkhand","20","Dhanbad","325","Dhanbad",0.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
292,"2021","Jharkhand","20","Dhanbad","325","Dhanbad Railway",0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
293,"2021","Jharkhand","20","Dumka","326","Dumka",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
